codigo,category,brand,name,presentation,price
7702011159540,02 - CONFITERIA,GENERICO,GOMITAS BON BON BUM 24X1UNDX80GR,BOLSA,0.79
7707014905187,02 - CONFITERIA,GENERICO,BIG BOM ZOMBIE XXL 8X1X48UND,BOLSA,6.25
7707014902230,02 - CONFITERIA,GENERICO,BIG BOM DIAMANTE XXL 8X1X48UND,BOLSA,6.25
7707014902391,02 - CONFITERIA,GENERICO,BIG BOM SCHOOL XXL 8X1X48UND,BOLSA,6.25
7707014950392,02 - CONFITERIA,GENERICO,BIG BOM YOGURT MORA  XXL 8X1X48UND,BOLSA,6.25
7707014902025,02 - CONFITERIA,GENERICO,BIG BOM SANDIA XXL 8X1X48UND,BOLSA,6.25
7707014902704,02 - CONFITERIA,GENERICO,BIG BOM MOUTH PAINTER XXL 8X1X48UND,BOLSA,6.25
7861008502445,02 - CONFITERIA,GENERICO,KATABOOM FRESA 30X1X60UND,DISPLAY,5.0
7707014902131,02 - CONFITERIA,GENERICO,BIG BOM YOGURT FRESA  XXL 8X1X48UND,BOLSA,6.25
7707014903138,02 - CONFITERIA,GENERICO,BIG BOM CHOCO-CARAMEL  XXL 8X1X48UND,BOLSA,6.25
7707014902988,02 - CONFITERIA,GENERICO,BIG BOM TATAMA CHERI  XXL 8X1X48UND,BOLSA,6.25
7707014958503,02 - CONFITERIA,GENERICO,BIG BOM CROCOCO XXL 8X1X48UND,BOLSA,6.25
7707014902629,02 - CONFITERIA,GENERICO,BIG BOM FRESA STRAWBERRY XXL 8X1X48UND,BOLSA,6.25
7702011089090,02 - CONFITERIA,GENERICO,BON BON BUM CEREZA INTENSA 15X1X24UND,BOLSA,3.32
7702011281180,02 - CONFITERIA,GENERICO,BON BON BUM ROJO FRESA 15X1X24UND,BOLSA,3.32
7702011224293,02 - CONFITERIA,GENERICO,BON BON BUM FRESA INTENSA 15X1X24UND,BOLSA,3.32
7702011075161,02 - CONFITERIA,GENERICO,BON BON BUM MARACUYA 15X1X24UND,BOLSA,3.32
7702011242570,02 - CONFITERIA,GENERICO,BON BON BUM SURT  ASSOTED 15X1X24UND,BOLSA,3.32
7702011075703,02 - CONFITERIA,GENERICO,BON BON BUM SURT TROPIC 15X1X24UND,BOLSA,3.32
7702993050828,02 - CONFITERIA,GENERICO,CHAO XTREME CEREZA 24X1X100UND,BOLSA,3.11
7702993050835,02 - CONFITERIA,GENERICO,CHAO XTREME ORIGINAL  24X1X100UND,BOLSA,3.11
7702993031032,02 - CONFITERIA,GENERICO,CHAO EN LINEA MENTA 12X1X24UND,BOLSA,3.42
7897190307575,02 - CONFITERIA,GENERICO,CHICLE GUDS BALL FRUTA 24X1X18UND,DISPLAY,5.0
7897190307841,02 - CONFITERIA,GENERICO,CHICLE GUDS BALL MENTA 24X1X18UND,DISPLAY,5.0
7702011001481,02 - CONFITERIA,GENERICO,MENTA HELADA 18X1X100UND,BOLSA,2.32
7702011046949,02 - CONFITERIA,GENERICO,MAX COCO WAFER 12X1X10UND,DISPLAY,4.58
7702011026408,02 - CONFITERIA,GENERICO,WAFER COLOMBINA VAINILLA 24X1X24UND,DISPLAY,1.93
7702011074812,02 - CONFITERIA,GENERICO,WAFER COLOMBINA FRESA 24X1X24UND,DISPLAY,1.93
7702011201867,02 - CONFITERIA,GENERICO,CRAKEÑAS 24X1X8UND,DISPLAY,1.32
7702993031711,02 - CONFITERIA,GENERICO,CHAO EN LINEA FRESA 12X1X24UND,DISPLAY,3.42
6973912893609,02 - CONFITERIA,GENERICO,ANILLO MAGICO 24X1X30UND,DISPLAY,5.59
7590308002132,01 - REPOSTERIA,GENERICO,ESENCIA  AREQUIPEF441 12X1LT,BOTELLA,14.31
7861008501950,02 - CONFITERIA,GENERICO,CHICLE PASTILLA TUMIX MENTA 36X1X100UND,DISPLAY,6.37
7591082000284,02 - CONFITERIA,GENERICO,MARILU CHOC TUB 24X1X6UNDX216GR,TUBO,2.57
7861008529404,02 - CONFITERIA,GENERICO,KATABOOM SURTIDO30X1X60UND,DISPLAY,5.0
7590308001524,01 - REPOSTERIA,GENERICO,ESENCIA  MANTECADOF06 12X1LT,BOTELLA,7.84
